Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01007900,Sheffield 003F,"1,759",27,19,30,18,19,25,21,30,22,22,20,25,12,30,23,12,21,26,17,18,14,17,9,22,18,26,27,22,31,22,30,23,27,22,17,23,20,17,27,14,12,21,22,24,24,24,26,18,22,28,28,23,28,34,21,21,30,22,20,19,15,18,17,11,13,28,14,14,28,34,25,25,14,19,15,14,16,11,10,11,13,8,5,10,9,6,2,6,3,0,13
E01007901,Sheffield 003G,"1,527",8,20,17,17,17,26,25,11,21,20,20,23,21,24,17,25,27,23,17,20,10,12,13,15,10,22,25,15,17,20,15,22,16,10,13,17,22,21,16,22,20,17,16,15,20,16,14,23,25,19,24,20,21,23,20,13,8,21,21,16,12,19,23,13,14,20,15,16,22,27,22,19,17,15,17,7,9,13,11,14,10,6,13,8,4,9,4,6,9,5,24
E01007887,Sheffield 004A,"1,400",14,8,14,14,13,18,14,18,16,16,14,15,19,22,11,22,17,17,19,14,18,6,8,19,13,22,19,14,14,22,16,16,21,18,18,16,18,14,22,18,15,15,16,18,21,18,19,22,27,18,26,22,20,18,22,21,22,16,20,17,15,16,21,26,19,13,8,18,12,17,20,14,22,17,14,10,9,11,5,4,7,2,6,4,4,9,2,4,7,6,18
E01007889,Sheffield 004B,"2,655",22,25,31,27,33,43,34,37,38,43,37,31,43,30,34,34,27,31,31,27,27,20,27,20,25,23,34,43,32,28,31,34,23,26,29,34,25,31,30,40,38,43,39,51,59,51,54,60,60,40,45,39,34,34,44,44,41,42,35,25,26,16,32,24,15,30,21,24,30,28,39,29,20,26,25,15,16,7,8,11,12,9,12,5,7,9,6,11,7,4,13
E01007890,Sheffield 004C,"1,385",4,8,7,12,8,14,14,16,13,10,16,21,20,21,20,7,19,10,12,4,14,14,8,9,21,20,8,13,11,11,20,10,9,11,16,16,12,8,18,16,21,16,21,18,19,27,22,27,21,17,23,19,23,18,20,20,20,14,22,21,16,22,19,26,25,14,16,20,20,13,26,19,18,25,23,14,15,17,11,10,11,12,9,11,9,6,6,3,4,2,13
E01007891,Sheffield 004D,"1,519",13,11,13,13,5,13,8,13,14,17,13,13,14,13,20,10,16,10,18,12,13,12,15,11,14,21,21,21,12,11,10,4,11,7,9,10,10,18,11,13,13,19,15,17,27,21,17,14,17,24,15,19,22,19,22,21,28,23,24,29,22,20,18,16,16,22,20,34,29,25,33,24,34,27,27,18,19,21,20,25,24,14,10,11,16,7,9,15,9,4,11
E01007894,Sheffield 004E,"1,368",14,10,14,13,9,14,17,18,18,22,16,13,24,15,14,11,15,5,7,7,13,13,15,12,16,18,23,25,20,22,16,15,19,20,14,21,12,16,18,16,17,23,29,17,25,21,16,27,35,20,19,16,15,16,22,20,17,21,22,11,18,13,18,14,19,11,20,16,16,9,17,17,12,8,12,8,10,9,6,17,13,10,12,5,5,3,2,4,5,3,7
E01007895,Sheffield 004F,"1,432",12,10,15,15,13,15,8,11,12,14,13,17,13,12,17,11,13,19,14,14,12,16,13,19,18,17,20,12,15,15,12,10,17,9,8,16,15,8,22,9,14,11,15,14,13,31,29,38,20,35,17,22,20,15,26,24,25,20,14,17,23,19,18,20,22,15,23,14,12,21,18,17,24,17,14,13,13,18,12,14,15,14,17,8,13,9,6,9,5,5,13
E01007896,Sheffield 004G,"1,201",6,5,3,4,11,14,14,11,18,5,5,10,12,6,9,10,11,13,17,15,15,16,8,14,9,9,11,7,9,7,4,6,9,12,10,18,17,12,15,12,11,9,15,21,14,18,19,19,21,15,24,13,19,17,16,20,24,24,20,12,19,20,24,20,32,27,23,22,27,25,19,15,19,15,7,9,5,14,8,12,11,12,5,14,3,6,4,4,0,2,8
E01007897,Sheffield 005A,"1,306",6,9,11,9,7,10,2,9,11,9,11,6,11,8,9,13,7,16,9,8,14,12,11,6,13,12,10,14,7,12,11,9,12,7,6,11,7,12,9,2,12,10,11,7,16,21,17,24,25,17,27,25,11,18,23,12,18,13,22,21,18,16,20,16,14,16,23,30,36,24,39,20,31,43,23,31,23,22,20,15,13,15,10,9,6,7,7,11,5,1,14
