Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01007901,Sheffield 003G,746,2,11,9,8,11,17,10,5,11,10,10,13,12,11,7,16,14,13,9,12,4,8,7,8,4,12,11,8,5,12,7,9,7,2,7,8,12,11,11,14,9,9,8,9,10,6,8,8,8,9,9,14,10,9,10,9,4,7,11,12,9,11,7,6,8,11,5,8,11,13,10,7,8,6,8,3,3,5,7,7,5,5,5,2,2,3,3,4,3,3,1
E01007887,Sheffield 004A,671,4,5,8,7,8,7,9,7,8,13,8,8,10,11,7,11,6,5,7,6,11,4,7,14,6,15,8,10,4,10,9,7,9,11,5,8,7,11,12,7,5,7,5,9,11,10,7,14,11,10,15,11,9,8,9,10,9,6,7,7,8,6,8,12,12,11,4,7,6,12,8,3,9,7,8,6,6,5,2,2,2,1,2,0,1,6,0,3,0,0,4
E01007889,Sheffield 004B,"1,307",11,15,16,17,15,19,16,16,22,19,20,18,26,17,19,21,19,14,22,13,13,12,14,11,12,7,17,27,15,13,15,13,9,10,14,17,16,12,9,17,16,20,21,21,31,28,26,31,34,22,26,21,18,17,22,17,21,24,17,16,16,6,16,10,9,12,7,10,17,11,17,13,10,13,8,2,7,2,6,4,5,3,3,3,5,1,5,3,2,1,3
E01007890,Sheffield 004C,686,2,2,4,7,4,9,9,9,10,6,13,14,9,13,8,1,9,6,6,3,6,8,5,6,6,11,5,6,5,7,10,3,5,5,10,6,7,3,7,7,8,6,7,11,7,13,11,16,11,11,14,9,13,8,7,9,12,7,10,9,5,14,11,17,12,9,7,7,4,6,14,6,10,15,13,8,6,9,4,3,6,4,4,6,4,2,3,0,1,0,5
E01007891,Sheffield 004D,725,4,5,3,4,3,7,3,7,8,4,9,9,10,9,15,4,5,3,8,8,7,7,12,6,10,12,10,11,8,9,5,1,6,3,4,6,2,6,5,7,3,9,6,8,12,8,11,5,9,13,7,10,9,11,13,9,13,10,11,11,11,10,9,6,9,8,12,17,17,8,17,11,13,17,13,7,8,11,6,7,14,11,1,8,10,1,2,1,1,1,5
E01007894,Sheffield 004E,675,8,5,8,7,3,10,10,9,12,15,8,6,6,7,8,5,9,3,3,5,10,8,6,5,7,7,12,14,12,14,6,8,9,9,7,9,4,7,10,8,9,10,15,5,15,9,6,14,20,10,9,9,6,9,12,10,10,8,14,5,7,3,10,8,10,7,10,6,7,5,5,9,7,3,7,2,4,3,2,6,5,4,9,1,3,0,2,1,2,0,3
E01007895,Sheffield 004F,699,5,3,8,7,7,7,3,5,6,11,7,5,7,4,6,5,6,8,8,6,5,7,6,7,10,10,11,10,10,8,8,5,11,4,3,9,5,4,8,6,9,4,8,6,5,14,10,21,12,19,9,12,8,9,10,12,9,10,8,8,15,10,9,9,11,6,15,3,6,5,8,9,15,8,6,6,6,11,9,7,9,10,9,2,5,3,4,3,2,1,3
E01007896,Sheffield 004G,594,2,2,0,1,2,7,7,7,4,4,3,5,8,2,7,6,7,8,6,7,8,10,6,6,6,4,6,3,3,3,3,3,2,8,5,6,7,8,5,5,5,5,7,9,4,8,13,10,14,9,13,8,10,6,7,11,11,9,9,5,10,11,11,11,16,15,11,12,13,12,9,9,13,7,4,6,2,8,2,3,4,7,2,5,2,4,4,3,0,1,2
E01007897,Sheffield 005A,655,2,3,6,3,2,5,2,6,9,5,4,3,8,6,5,11,7,12,6,8,12,7,8,6,9,5,4,7,4,3,2,5,4,5,5,4,1,8,2,0,4,4,4,3,6,15,11,9,11,10,15,15,7,11,11,7,7,4,10,11,7,5,8,9,7,4,5,13,20,11,17,7,16,21,14,17,14,16,7,7,5,6,1,3,2,4,4,9,4,0,3
E01008134,Sheffield 005B,616,3,7,5,4,3,10,1,6,4,7,4,3,6,2,5,3,3,5,6,3,6,8,7,7,3,10,5,13,4,8,4,6,6,2,7,10,5,10,7,5,5,4,3,2,2,9,8,9,9,9,16,15,7,10,12,12,16,5,12,8,5,10,9,9,10,14,9,9,13,11,20,3,12,5,9,6,6,7,5,6,7,1,3,6,3,3,2,3,4,1,9
