LSOA.code,LSOA.name,Population.all,People_per_Sq_Km,Population.female,Population.male
E01008100,Sheffield 048B,"1,368","5,530",746,622
E01008090,Sheffield 012C,"1,643","5,528",881,762
E01007848,Sheffield 013A,"1,854","5,475",953,901
E01007947,Sheffield 013C,"1,687","5,472",862,825
E01007991,Sheffield 016D,"1,543","5,384",840,703
E01007901,Sheffield 003G,"1,527","5,373",781,746
E01007916,Sheffield 069B,"1,634","5,336",881,753
E01008125,Sheffield 009G,"1,548","5,314",799,749
E01007890,Sheffield 004C,"1,385","5,266",699,686
E01007937,Sheffield 047E,"1,483","5,263",772,711
E01007869,Sheffield 020A,"1,805","5,256",915,890
E01007942,Sheffield 020D,"2,194","5,240","1,081","1,113"
E01008146,Sheffield 002C,"1,258","5,237",639,619
E01007830,Sheffield 064B,"1,479","5,157",770,709
E01008004,Sheffield 052C,"1,615","5,153",846,769
E01008102,Sheffield 048C,"1,363","5,141",728,635
E01007857,Sheffield 010B,"1,667","5,126",881,786
E01008031,Sheffield 061A,"1,402","5,109",726,676
E01008088,Sheffield 012B,"1,356","5,086",699,657
E01008080,Sheffield 069D,"1,509","5,084",781,728
E01008008,Sheffield 045D,"1,669","5,073",890,779
E01007977,Sheffield 051C,"1,575","5,050",758,817
E01008057,Sheffield 007D,"1,608","5,042",884,724
E01008053,Sheffield 006A,"1,326","5,019",662,664
E01008060,Sheffield 010D,"1,471","5,015",772,699
E01008027,Sheffield 065D,"1,574","4,992",812,762
E01007879,Sheffield 075B,"1,592","4,986",718,874
E01007887,Sheffield 004A,"1,400","4,945",729,671
E01008003,Sheffield 054C,"1,387","4,943",728,659
E01007900,Sheffield 003F,"1,759","4,879",885,874
E01008085,Sheffield 009A,"1,408","4,850",722,686
E01007831,Sheffield 059C,"1,459","4,765",732,727
E01008011,Sheffield 039A,"1,647","4,751",877,770
E01007895,Sheffield 004F,"1,432","4,739",733,699
E01008103,Sheffield 048D,"1,227","4,736",626,601
E01008000,Sheffield 052A,"1,451","4,720",740,711
E01008157,Sheffield 026D,"1,609","4,714",851,758
E01007988,Sheffield 016B,"1,491","4,695",797,694
E01007979,Sheffield 051D,"1,858","4,687","1,039",819
E01007931,Sheffield 047A,"1,570","4,673",826,744
E01008161,Sheffield 026E,"1,778","4,672",868,910
E01007855,Sheffield 014F,"2,130","4,658","1,071","1,059"
E01007984,Sheffield 064D,"1,451","4,601",705,746
E01007843,Sheffield 062C,"1,696","4,571",895,801
E01007952,Sheffield 033A,"1,599","4,559",843,756
E01007853,Sheffield 014D,"1,778","4,507",916,862
E01007886,Sheffield 075F,"1,656","4,481",915,741
E01008104,Sheffield 036E,"1,628","4,471",798,830
E01007839,Sheffield 076B,"1,595","4,460",808,787
E01008032,Sheffield 056C,"1,339","4,457",703,636
E01008150,Sheffield 001E,"1,489","4,447",760,729
E01008138,Sheffield 006D,"1,310","4,420",670,640
E01007990,Sheffield 021A,"1,411","4,408",719,692
E01007976,Sheffield 051B,"1,461","4,397",768,693
E01007957,Sheffield 041C,"1,640","4,355",838,802
E01008012,Sheffield 039B,"2,218","4,352","1,105","1,113"
E01007838,Sheffield 076A,"1,524","4,347",765,759
E01007982,Sheffield 054A,"1,921","4,321",928,993
E01007941,Sheffield 015A,"1,569","4,313",793,776
E01008044,Sheffield 046B,"1,634","4,294",846,788
E01007938,Sheffield 047F,"1,542","4,280",828,714
E01008005,Sheffield 052D,"1,538","4,277",776,762
E01008131,Sheffield 023C,"1,597","4,242",835,762
E01008038,Sheffield 061C,"1,425","4,230",748,677
E01007999,Sheffield 045C,"1,299","4,223",640,659
E01008055,Sheffield 007C,"1,665","4,210",912,753
E01007954,Sheffield 033C,"1,558","4,209",785,773
E01007973,Sheffield 037D,"1,526","4,144",765,761
E01007871,Sheffield 019B,"1,931","4,138",921,"1,010"
E01008117,Sheffield 009D,"1,326","4,133",651,675
E01008139,Sheffield 006E,"1,572","4,118",813,759
E01007907,Sheffield 032A,"1,705","4,067",845,860
E01007868,Sheffield 030C,"1,145","4,066",614,531
E01007823,Sheffield 069A,"1,705","4,060",860,845
E01007849,Sheffield 010A,"2,244","4,033","1,140","1,104"
E01008049,Sheffield 050D,"1,693","4,027",864,829
E01007866,Sheffield 030A,"1,702","3,978",837,865
E01007858,Sheffield 038A,"1,537","3,930",776,761
E01008118,Sheffield 009E,"1,415","3,928",723,692
E01007997,Sheffield 025A,"1,496","3,925",778,718
E01008075,Sheffield 060B,"1,539","3,924",821,718
E01008086,Sheffield 009B,"1,331","3,906",698,633
E01007865,Sheffield 038D,"1,750","3,898",851,899
E01008081,Sheffield 070A,"1,522","3,859",738,784
E01032585,Sheffield 072E,"1,384","3,856",712,672
E01008001,Sheffield 052B,"1,538","3,852",785,753
E01008160,Sheffield 024F,"1,338","3,849",723,615
E01033275,Sheffield 008F,"1,737","3,843",859,878
E01007824,Sheffield 066A,"1,327","3,841",693,634
E01007896,Sheffield 004G,"1,201","3,831",607,594
E01033268,Sheffield 075G,"3,471","3,808","1,522","1,949"
E01007872,Sheffield 020B,"1,739","3,771",837,902
E01007873,Sheffield 020C,"2,052","3,759","1,012","1,040"
E01033277,Sheffield 011E,"2,739","3,757","1,405","1,334"
E01008097,Sheffield 043C,"1,437","3,754",733,704
E01008123,Sheffield 015E,"1,343","3,722",699,644
E01008016,Sheffield 032F,"1,583","3,711",751,832
E01008142,Sheffield 002A,"1,544","3,675",787,757
E01008014,Sheffield 032E,"1,712","3,671",849,863
E01008116,Sheffield 009C,"1,314","3,649",683,631
E01007964,Sheffield 049A,"1,514","3,641",762,752
E01008087,Sheffield 012A,"1,470","3,634",789,681
E01008096,Sheffield 043B,"2,179","3,592","1,141","1,038"
E01007967,Sheffield 045B,"1,808","3,589",891,917
E01008082,Sheffield 070B,"1,581","3,561",848,733
E01007870,Sheffield 019A,"1,946","3,558",902,"1,044"
E01007888,Sheffield 003A,"1,345","3,526",664,681
E01008058,Sheffield 006C,"1,552","3,524",812,740
E01008119,Sheffield 009F,"1,253","3,524",656,597
E01008018,Sheffield 039F,"1,388","3,502",767,621
E01007934,Sheffield 047B,"1,481","3,484",750,731
E01008140,Sheffield 008E,"1,931","3,446",982,949
E01008043,Sheffield 046A,"1,650","3,436",805,845
E01007922,Sheffield 071D,"1,353","3,434",705,648
E01007996,Sheffield 021E,"1,677","3,411",844,833
E01007924,Sheffield 071E,"1,629","3,394",826,803
E01007829,Sheffield 059B,"1,485","3,371",764,721
E01007968,Sheffield 049C,"1,435","3,369",770,665
E01007955,Sheffield 041A,"1,338","3,368",691,647
E01007841,Sheffield 076C,"1,511","3,345",820,691
E01007928,Sheffield 055B,"1,761","3,338",913,848
E01008023,Sheffield 072B,"2,111","3,317","1,044","1,067"
