LSOA.code,LSOA.name,Population.all,People_per_Sq_Km
E01007905,Sheffield 027C,"2,019","6,574"
E01007906,Sheffield 027D,"2,664","9,590"
E01008064,Sheffield 028A,"1,684","13,365"
E01008066,Sheffield 028B,"1,750","17,839"
E01008069,Sheffield 028C,"1,710","15,789"
E01008074,Sheffield 028D,"1,474","11,498"
E01007951,Sheffield 029A,"1,682","5,891"
E01007960,Sheffield 029B,"1,679","7,297"
E01007962,Sheffield 029C,"1,407","12,036"
E01008159,Sheffield 029D,"1,537","8,427"
E01007866,Sheffield 030A,"1,778","4,156"
E01007867,Sheffield 030B,"2,053","11,170"
E01007868,Sheffield 030C,"1,048","3,722"
E01008067,Sheffield 030D,"1,834","6,045"
E01008073,Sheffield 030E,"1,817","8,015"
E01007907,Sheffield 032A,"1,667","3,977"
E01007908,Sheffield 032B,"1,467","5,906"
E01007909,Sheffield 032C,"2,364","2,377"
E01007911,Sheffield 032D,"1,364","1,551"
E01008014,Sheffield 032E,"1,684","3,611"
E01008016,Sheffield 032F,"1,587","3,720"
E01007952,Sheffield 033A,"1,598","4,557"
E01007953,Sheffield 033B,"1,509","1,318"
E01007954,Sheffield 033C,"1,576","4,257"
E01007961,Sheffield 033D,"1,545","1,062"
E01007859,Sheffield 036A,"1,916","6,892"
E01007860,Sheffield 036B,"1,742","6,309"
E01007863,Sheffield 036C,"1,725","6,181"
E01007864,Sheffield 036D,"2,348","19,983"
E01008104,Sheffield 036E,"1,689","4,639"
E01007910,Sheffield 037A,"1,764","1,880"
E01007912,Sheffield 037B,"1,497","5,634"
E01007971,Sheffield 037C,"1,477","2,931"
E01007973,Sheffield 037D,"1,515","4,115"
E01007858,Sheffield 038A,"1,515","3,874"
E01007861,Sheffield 038B,"1,556","2,643"
E01007862,Sheffield 038C,"5,292","7,657"
E01007865,Sheffield 038D,"1,741","3,878"
E01008011,Sheffield 039A,"1,625","4,687"
E01008012,Sheffield 039B,"2,228","4,371"
E01008013,Sheffield 039C,"1,232","3,218"
E01008015,Sheffield 039D,"1,677","2,126"
E01008017,Sheffield 039E,"1,596","2,241"
E01008018,Sheffield 039F,"1,439","3,630"
E01008105,Sheffield 040A,"4,173","23,158"
E01008107,Sheffield 040C,"1,706","15,666"
E01008111,Sheffield 040D,"1,669","6,156"
E01033271,Sheffield 040E,"1,761","10,138"
E01033272,Sheffield 040F,"1,317","12,413"
E01007955,Sheffield 041A,"1,349","3,395"
E01007956,Sheffield 041B,"2,121",71
E01007957,Sheffield 041C,"1,631","4,331"
E01007958,Sheffield 041D,"1,433","2,220"
E01007959,Sheffield 041E,"1,463","2,951"
E01008108,Sheffield 042A,"1,918","6,009"
E01008109,Sheffield 042B,"2,066","8,795"
E01008112,Sheffield 042D,"1,747","7,981"
E01008113,Sheffield 042E,"1,807","13,190"
E01033273,Sheffield 042F,"2,573","9,339"
E01033274,Sheffield 042G,"2,089","5,876"
E01008095,Sheffield 043A,"1,767","2,136"
E01008096,Sheffield 043B,"2,184","3,600"
E01008097,Sheffield 043C,"1,488","3,887"
E01008101,Sheffield 043D,"1,871","8,995"
E01007965,Sheffield 044A,"1,876","6,686"
E01007969,Sheffield 044B,"1,511","2,219"
E01007972,Sheffield 044C,"1,417","2,348"
E01007974,Sheffield 044D,"1,424","1,473"
E01007963,Sheffield 045A,"1,451","2,367"
E01007967,Sheffield 045B,"1,802","3,577"
E01007999,Sheffield 045C,"1,324","4,304"
E01008008,Sheffield 045D,"1,663","5,055"
E01008009,Sheffield 045E,"1,612","6,526"
E01008043,Sheffield 046A,"1,669","3,476"
E01008044,Sheffield 046B,"1,608","4,226"
E01008047,Sheffield 046C,"1,580","13,933"
E01008048,Sheffield 046D,"1,621","6,028"
E01008050,Sheffield 046E,"1,552","9,604"
E01007931,Sheffield 047A,"1,578","4,696"
E01007934,Sheffield 047B,"1,511","3,554"
E01007935,Sheffield 047C,"1,521","7,590"
E01007936,Sheffield 047D,"1,634","10,562"
E01007937,Sheffield 047E,"1,483","5,263"
E01007938,Sheffield 047F,"1,536","4,263"
E01008098,Sheffield 048A,"1,507","6,136"
E01008100,Sheffield 048B,"1,323","5,348"
E01008102,Sheffield 048C,"1,390","5,243"
E01008103,Sheffield 048D,"1,275","4,921"
E01007964,Sheffield 049A,"1,502","3,612"
E01007966,Sheffield 049B,"1,503","1,902"
E01007968,Sheffield 049C,"1,447","3,397"
E01007970,Sheffield 049D,"1,611","2,387"
E01008042,Sheffield 050A,"1,692","8,490"
E01008045,Sheffield 050B,"1,396","6,448"
E01008046,Sheffield 050C,"1,668","8,176"
E01008049,Sheffield 050D,"1,692","4,025"
E01008051,Sheffield 050E,"1,674","9,976"
E01008052,Sheffield 050F,"1,983","7,957"
E01007975,Sheffield 051A,"1,675","6,160"
E01007976,Sheffield 051B,"1,472","4,430"
E01007977,Sheffield 051C,"1,565","5,018"
E01007979,Sheffield 051D,"1,814","4,576"
E01008099,Sheffield 051E,"1,662","7,042"
E01008000,Sheffield 052A,"1,452","4,723"
E01008001,Sheffield 052B,"1,573","3,939"
E01008004,Sheffield 052C,"1,608","5,131"
E01008005,Sheffield 052D,"1,526","4,244"
E01008010,Sheffield 052E,"1,438","5,982"
E01007978,Sheffield 053A,"1,569","5,943"
E01007980,Sheffield 053B,"1,544","10,273"
E01007981,Sheffield 053C,"1,578","3,243"
E01007983,Sheffield 053D,"1,526","6,561"
E01007985,Sheffield 053E,"1,523","5,769"
E01007982,Sheffield 054A,"1,897","4,267"
E01008002,Sheffield 054B,"1,573","5,922"
E01008003,Sheffield 054C,"1,388","4,947"
