LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01007988,Sheffield 016B,"1,552",165,184,129,162,273,207,211,143,71,7
E01007989,Sheffield 016C,"1,382",153,132,155,237,241,181,158,87,36,2
E01007991,Sheffield 016D,"1,465",162,233,166,151,196,207,153,138,46,13
E01007995,Sheffield 017A,"1,453",178,127,276,308,209,168,105,58,21,3
E01008089,Sheffield 017B,"1,704",283,242,270,219,252,163,109,104,57,5
E01008091,Sheffield 017C,"1,444",164,131,270,241,246,201,112,65,13,1
E01008093,Sheffield 017D,"1,470",127,119,267,241,219,203,136,107,45,6
E01007903,Sheffield 018A,"1,624",236,256,200,223,252,145,131,130,43,8
E01007904,Sheffield 018B,"1,653",293,224,219,217,179,131,171,154,61,4
E01007913,Sheffield 018C,"1,584",395,222,253,279,157,99,83,65,26,5
E01007914,Sheffield 018D,"1,553",295,295,215,274,193,111,78,54,29,9
E01007870,Sheffield 019A,"1,854",254,234,274,276,250,221,148,132,52,13
E01007871,Sheffield 019B,"1,876",294,193,244,261,275,224,129,164,85,7
E01007943,Sheffield 019C,"1,616",286,191,199,193,231,156,144,121,81,14
E01008094,Sheffield 019D,"1,213",170,141,174,113,149,138,125,118,65,20
E01007869,Sheffield 020A,"1,781",358,305,260,259,206,188,103,54,43,5
E01007872,Sheffield 020B,"1,701",294,240,222,249,228,168,150,90,49,11
E01007873,Sheffield 020C,"1,919",391,247,342,262,235,149,103,114,51,25
E01007942,Sheffield 020D,"1,930",360,356,351,302,213,164,86,56,35,7
E01007949,Sheffield 020E,"1,658",349,267,251,229,190,147,93,63,55,14
E01007990,Sheffield 021A,"1,453",151,131,147,144,235,195,184,177,75,14
E01007992,Sheffield 021B,"1,652",198,166,238,276,284,181,136,116,46,11
E01007993,Sheffield 021C,"1,666",208,211,168,214,263,220,147,133,83,19
E01007994,Sheffield 021D,"1,420",204,130,188,279,218,173,132,72,22,2
E01007996,Sheffield 021E,"1,602",224,138,199,252,221,178,145,115,95,35
E01007874,Sheffield 022A,"1,978",449,347,268,259,193,175,135,86,60,6
E01007875,Sheffield 022B,"1,782",388,301,305,255,213,131,73,72,39,5
E01007877,Sheffield 022D,"1,363",306,225,174,227,145,87,74,65,47,13
E01007940,Sheffield 022E,"1,872",427,298,260,256,223,166,112,69,56,5
E01007944,Sheffield 022F,"2,368",686,377,436,327,244,151,56,57,31,3
E01033269,Sheffield 022G,"1,993",487,307,317,342,227,153,58,65,32,5
E01033270,Sheffield 022H,"1,717",194,103,721,435,121,70,33,20,18,2
E01008129,Sheffield 023A,"1,432",144,173,111,143,235,217,194,130,71,14
E01008130,Sheffield 023B,"1,456",132,156,122,115,220,188,244,196,72,11
E01008131,Sheffield 023C,"1,592",148,180,146,146,280,241,221,133,84,13
E01008132,Sheffield 023D,"1,399",135,170,91,131,212,300,188,98,68,6
E01008133,Sheffield 023E,"1,527",102,146,96,98,207,226,238,234,149,31
E01008151,Sheffield 024A,"1,573",125,103,519,302,192,138,116,51,21,6
E01008153,Sheffield 024B,"1,688",165,114,357,331,265,151,150,78,54,23
E01008154,Sheffield 024C,"1,672",171,117,268,289,230,220,169,123,73,12
E01008155,Sheffield 024D,"1,554",138,130,411,306,191,168,110,71,22,7
E01008156,Sheffield 024E,"1,432",99,122,191,199,231,214,197,129,45,5
E01008160,Sheffield 024F,"1,374",151,108,186,233,187,185,142,122,54,6
E01007997,Sheffield 025A,"1,405",142,163,128,143,214,181,143,208,70,13
E01007998,Sheffield 025B,"1,624",136,141,156,184,242,192,205,203,126,39
E01008152,Sheffield 025C,"1,421",162,133,115,192,225,205,148,143,84,14
E01008158,Sheffield 025D,"1,553",188,149,172,194,198,186,221,161,68,16
E01008065,Sheffield 026A,"1,945",246,197,364,318,254,194,132,147,74,19
E01008068,Sheffield 026B,"3,119",247,546,1449,336,219,126,85,71,29,11
E01008072,Sheffield 026C,"1,649",231,181,325,233,219,145,137,113,48,17
E01008157,Sheffield 026D,"1,578",128,136,200,211,189,194,234,176,99,11
