LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01008144,Sheffield 001A,"1,641",185,195,181,193,271,196,187,138,69,26
E01008145,Sheffield 001B,"1,432",124,141,166,134,194,228,191,164,70,20
E01008148,Sheffield 001C,"1,491",168,179,134,157,210,202,196,146,82,17
E01008149,Sheffield 001D,"1,413",149,138,155,135,224,210,208,137,52,5
E01008150,Sheffield 001E,"1,458",169,136,143,171,191,172,190,141,109,36
E01008142,Sheffield 002A,"1,522",195,203,176,215,238,191,131,84,59,30
E01008143,Sheffield 002B,"1,598",152,175,176,187,253,264,182,147,50,12
E01008146,Sheffield 002C,"1,274",121,137,99,111,197,206,198,154,43,8
E01008147,Sheffield 002D,"1,397",119,114,126,113,205,211,255,175,66,13
E01007888,Sheffield 003A,"1,352",128,138,152,161,237,194,214,99,27,2
E01007892,Sheffield 003B,"1,475",185,177,191,139,182,207,165,157,56,16
E01007893,Sheffield 003C,"1,493",127,144,141,137,206,251,220,180,81,6
E01007898,Sheffield 003D,"1,409",147,161,155,171,233,272,144,79,40,7
E01007899,Sheffield 003E,"1,421",120,151,99,107,173,237,255,195,74,10
E01007900,Sheffield 003F,"1,744",237,195,215,213,232,233,197,149,60,13
E01007901,Sheffield 003G,"1,520",192,193,154,184,191,173,188,126,98,21
E01007887,Sheffield 004A,"1,378",147,167,152,180,203,182,174,106,46,21
E01007889,Sheffield 004B,"2,656",376,312,273,324,518,356,257,155,68,17
E01007890,Sheffield 004C,"1,417",123,155,127,133,225,204,213,161,59,17
E01007891,Sheffield 004D,"1,500",112,149,132,95,202,232,228,241,96,13
E01007894,Sheffield 004E,"1,394",149,121,171,185,229,182,176,109,63,9
E01007895,Sheffield 004F,"1,427",120,146,156,125,229,199,185,160,93,14
E01007896,Sheffield 004G,"1,231",93,121,86,121,180,206,253,115,49,7
E01007897,Sheffield 005A,"1,330",75,113,105,87,184,176,253,253,73,11
E01008134,Sheffield 005B,"1,286",94,111,113,111,164,207,214,140,102,30
E01008135,Sheffield 005C,"1,776",174,153,216,235,279,252,223,133,88,23
E01008137,Sheffield 005D,"1,447",112,123,122,125,187,220,214,224,106,14
E01008141,Sheffield 005E,"1,592",132,148,155,162,219,235,242,193,102,4
E01008053,Sheffield 006A,"1,303",137,176,139,134,205,158,147,148,48,11
E01008056,Sheffield 006B,"1,511",193,207,179,169,218,213,169,92,55,16
E01008058,Sheffield 006C,"1,486",132,164,152,142,222,252,193,150,68,11
E01008138,Sheffield 006D,"1,297",111,155,105,134,178,178,170,150,98,18
E01008139,Sheffield 006E,"1,575",157,166,198,180,230,187,183,191,76,7
E01007856,Sheffield 007A,"1,230",221,135,180,168,162,162,87,75,35,5
E01008054,Sheffield 007B,"1,408",276,179,236,172,208,154,85,66,28,4
E01008055,Sheffield 007C,"1,693",318,212,257,229,199,189,112,80,75,22
E01008057,Sheffield 007D,"1,550",283,216,213,212,232,175,100,74,42,3
E01008126,Sheffield 008A,"1,502",130,152,126,111,219,263,215,216,64,6
E01008128,Sheffield 008C,"1,760",191,156,149,231,276,285,247,155,65,5
E01008136,Sheffield 008D,"1,320",142,159,113,138,214,190,185,126,50,3
E01008140,Sheffield 008E,"1,948",247,203,155,279,339,250,201,145,100,29
E01033275,Sheffield 008F,"1,743",273,225,210,251,327,232,140,63,21,1
E01033280,Sheffield 008G,"1,579",172,216,136,183,275,275,182,99,37,4
E01008085,Sheffield 009A,"1,402",184,175,207,152,195,174,151,103,40,21
E01008086,Sheffield 009B,"1,352",213,180,165,186,198,155,117,92,40,6
E01008116,Sheffield 009C,"1,328",188,214,174,138,176,174,118,98,36,12
E01008117,Sheffield 009D,"1,245",153,163,133,151,163,164,156,98,47,17
E01008118,Sheffield 009E,"1,376",191,150,197,166,184,166,136,124,56,6
E01008119,Sheffield 009F,"1,234",211,179,132,163,157,164,99,64,42,23
E01008125,Sheffield 009G,"1,533",187,207,185,148,226,185,197,119,64,15
E01007849,Sheffield 010A,"2,242",400,307,324,317,297,234,147,150,56,10
E01007857,Sheffield 010B,"1,606",274,196,225,213,195,178,148,119,51,7
E01008059,Sheffield 010C,"1,532",262,196,208,173,196,211,137,94,48,7
E01008060,Sheffield 010D,"1,472",241,194,193,198,208,184,119,84,46,5
E01008061,Sheffield 011A,"1,547",244,218,188,182,217,182,116,112,68,20
