LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01008144,Sheffield 001A,"1,676",165,198,220,185,268,202,196,151,67,24
E01008145,Sheffield 001B,"1,419",128,137,157,148,167,234,184,167,83,14
E01008148,Sheffield 001C,"1,500",189,171,140,162,196,207,177,157,84,17
E01008149,Sheffield 001D,"1,437",135,144,165,145,202,224,185,171,53,13
E01008150,Sheffield 001E,"1,489",150,154,165,171,180,181,212,132,99,45
E01008142,Sheffield 002A,"1,544",199,207,186,226,219,211,133,91,50,22
E01008143,Sheffield 002B,"1,584",133,163,184,181,245,285,185,147,48,13
E01008146,Sheffield 002C,"1,258",123,123,127,98,183,201,182,166,49,6
E01008147,Sheffield 002D,"1,382",100,111,141,103,178,226,235,209,68,11
E01007888,Sheffield 003A,"1,345",131,139,150,156,211,205,199,124,27,3
E01007892,Sheffield 003B,"1,526",197,180,200,156,176,215,171,148,66,17
E01007893,Sheffield 003C,"1,462",104,132,136,139,194,243,208,208,92,6
E01007898,Sheffield 003D,"1,361",137,123,155,156,201,278,168,91,41,11
E01007899,Sheffield 003E,"1,403",118,127,104,122,156,206,262,208,87,13
E01007900,Sheffield 003F,"1,759",233,204,208,220,221,246,192,160,62,13
E01007901,Sheffield 003G,"1,527",182,217,159,174,185,187,181,144,74,24
E01007887,Sheffield 004A,"1,400",145,170,155,177,189,204,165,126,51,18
E01007889,Sheffield 004B,"2,655",333,325,279,303,495,383,246,196,82,13
E01007890,Sheffield 004C,"1,385",106,150,129,136,209,200,191,178,73,13
E01007891,Sheffield 004D,"1,519",120,139,151,103,184,222,222,248,119,11
E01007894,Sheffield 004E,"1,368",149,127,177,167,230,179,154,116,62,7
E01007895,Sheffield 004F,"1,432",125,143,157,126,220,200,187,160,101,13
E01007896,Sheffield 004G,"1,201",91,108,105,115,162,189,239,123,61,8
E01007897,Sheffield 005A,"1,306",83,98,111,86,160,190,213,267,84,14
E01008134,Sheffield 005B,"1,248",94,89,129,117,132,217,189,164,97,20
E01008135,Sheffield 005C,"1,683",153,148,229,194,234,263,212,155,83,12
E01008137,Sheffield 005D,"1,426",101,120,130,124,168,224,214,220,109,16
E01008141,Sheffield 005E,"1,579",129,153,144,152,217,234,237,200,105,8
E01008053,Sheffield 006A,"1,326",139,173,161,139,198,170,147,128,65,6
E01008056,Sheffield 006B,"1,514",179,216,183,193,209,199,148,113,56,18
E01008058,Sheffield 006C,"1,552",148,149,173,173,213,255,175,171,84,11
E01008138,Sheffield 006D,"1,310",121,143,116,141,152,206,172,148,84,27
E01008139,Sheffield 006E,"1,572",150,168,223,169,218,207,144,199,84,10
E01007856,Sheffield 007A,"1,244",213,149,178,179,155,163,103,64,35,5
E01008054,Sheffield 007B,"1,345",230,170,239,175,180,168,89,56,35,3
E01008055,Sheffield 007C,"1,665",301,219,242,223,183,205,113,87,66,26
E01008057,Sheffield 007D,"1,608",280,234,222,232,232,188,106,74,38,2
E01008126,Sheffield 008A,"1,524",153,139,131,118,214,251,201,239,68,10
E01008128,Sheffield 008C,"1,790",197,159,166,210,272,303,231,192,59,1
E01008136,Sheffield 008D,"1,420",163,167,133,156,224,198,182,132,59,6
E01008140,Sheffield 008E,"1,931",250,195,180,264,300,256,186,164,111,25
E01033275,Sheffield 008F,"1,737",219,247,217,227,319,251,158,81,17,1
E01033280,Sheffield 008G,"1,574",160,199,164,174,261,261,194,106,51,4
E01008085,Sheffield 009A,"1,408",181,184,208,163,190,180,142,111,34,15
E01008086,Sheffield 009B,"1,331",200,192,153,178,167,171,116,98,49,7
E01008116,Sheffield 009C,"1,314",180,199,187,128,176,171,121,111,30,11
E01008117,Sheffield 009D,"1,326",153,188,166,172,168,153,148,110,55,13
E01008118,Sheffield 009E,"1,415",187,175,193,179,170,183,129,130,61,8
E01008119,Sheffield 009F,"1,253",212,185,156,154,168,165,91,75,35,12
E01008125,Sheffield 009G,"1,548",188,218,181,162,204,198,185,130,67,15
E01007849,Sheffield 010A,"2,244",361,335,324,326,281,257,131,155,67,7
E01007857,Sheffield 010B,"1,667",275,175,256,228,184,205,166,122,51,5
E01008059,Sheffield 010C,"1,538",268,187,212,185,191,209,120,102,57,7
E01008060,Sheffield 010D,"1,471",254,180,201,206,187,193,100,99,44,7
E01008061,Sheffield 011A,"1,641",279,224,231,183,212,203,120,104,64,21
E01008063,Sheffield 011B,"1,436",133,146,188,172,209,201,167,134,76,10
E01033277,Sheffield 011E,"2,739",484,363,468,424,299,286,212,137,53,13
E01008087,Sheffield 012A,"1,470",123,136,201,163,183,253,153,150,86,22
E01008088,Sheffield 012B,"1,356",116,110,182,176,189,220,131,147,79,6
E01008090,Sheffield 012C,"1,643",321,158,242,225,194,206,157,97,37,6
E01008092,Sheffield 012D,"1,457",175,129,167,207,196,188,146,121,87,41
E01008122,Sheffield 012E,"1,541",308,184,271,202,189,162,97,66,59,3
E01008124,Sheffield 012F,"1,480",327,153,284,233,158,147,106,45,21,6
E01007848,Sheffield 013A,"1,854",287,231,251,247,253,189,169,138,67,22
E01007851,Sheffield 013B,"1,378",209,243,222,154,158,174,123,59,29,7
E01007947,Sheffield 013C,"1,687",204,204,159,165,239,279,208,122,94,13
E01007948,Sheffield 013D,"1,804",327,346,217,225,210,192,118,103,60,6
E01008062,Sheffield 013E,"1,726",306,291,245,179,201,184,154,87,55,24
E01007847,Sheffield 014A,"1,289",151,93,192,142,187,181,122,142,70,9
E01007850,Sheffield 014B,"1,508",165,156,207,156,192,220,169,186,52,5
E01007852,Sheffield 014C,"1,481",153,137,230,233,192,239,150,115,30,2
E01007853,Sheffield 014D,"1,778",198,149,304,234,232,231,151,179,84,16
E01007854,Sheffield 014E,"1,749",328,263,277,220,271,190,116,64,14,6
E01007855,Sheffield 014F,"2,130",458,259,342,345,249,210,155,81,27,4
E01007941,Sheffield 015A,"1,569",178,224,149,195,173,232,167,151,82,18
E01007945,Sheffield 015B,"1,799",278,219,261,200,242,248,177,114,47,13
E01007946,Sheffield 015C,"1,591",313,207,251,241,186,182,117,71,15,8
E01007950,Sheffield 015D,"1,601",282,255,194,230,177,183,123,115,40,2
E01008123,Sheffield 015E,"1,343",257,153,202,169,130,162,127,75,42,26
E01007987,Sheffield 016A,"1,495",209,151,192,189,251,230,131,92,45,5
E01007988,Sheffield 016B,"1,491",157,155,122,170,239,227,196,155,62,8
E01007989,Sheffield 016C,"1,430",162,137,183,222,221,196,167,88,51,3
E01007991,Sheffield 016D,"1,543",161,226,176,167,197,216,156,182,53,9
E01007995,Sheffield 017A,"1,467",166,99,317,317,182,162,144,56,20,4
E01008089,Sheffield 017B,"1,695",243,242,276,221,221,177,137,97,73,8
E01008091,Sheffield 017C,"1,477",181,103,305,238,212,217,128,61,31,1
E01008093,Sheffield 017D,"1,535",112,106,294,262,200,229,159,118,52,3
E01007903,Sheffield 018A,"1,705",253,270,237,219,249,175,116,124,48,14
E01007904,Sheffield 018B,"1,858",358,270,244,271,217,137,158,134,61,8
E01007913,Sheffield 018C,"1,662",370,265,247,285,203,98,102,45,39,8
E01007914,Sheffield 018D,"1,650",253,345,257,274,225,113,81,59,36,7
E01007870,Sheffield 019A,"1,946",278,256,308,249,262,235,160,106,75,17
E01007871,Sheffield 019B,"1,931",278,216,263,273,276,245,137,146,90,7
E01007943,Sheffield 019C,"1,751",333,230,218,214,213,192,136,122,71,22
E01008094,Sheffield 019D,"1,342",239,151,208,148,155,146,130,103,56,6
E01007869,Sheffield 020A,"1,805",322,308,287,262,205,182,130,52,53,4
E01007872,Sheffield 020B,"1,739",269,261,208,230,260,169,159,101,69,13
E01007873,Sheffield 020C,"2,052",415,291,316,289,240,171,119,100,79,32
E01007942,Sheffield 020D,"2,194",397,469,384,303,253,181,86,60,43,18
E01007949,Sheffield 020E,"1,891",428,352,281,248,233,148,91,48,47,15
E01007990,Sheffield 021A,"1,411",139,132,139,150,201,209,171,171,92,7
E01007992,Sheffield 021B,"1,648",158,172,263,263,245,220,147,117,43,20
E01007993,Sheffield 021C,"1,706",214,224,189,244,225,275,121,121,75,18
E01007994,Sheffield 021D,"1,386",157,146,213,217,218,178,128,93,33,3
E01007996,Sheffield 021E,"1,677",230,160,233,230,251,198,127,120,91,37
E01007874,Sheffield 022A,"2,171",443,412,294,299,226,205,143,74,56,19
E01007875,Sheffield 022B,"2,037",466,358,319,290,255,134,94,56,60,5
E01007877,Sheffield 022D,"1,465",308,292,160,248,167,106,75,51,40,18
E01007940,Sheffield 022E,"2,118",475,402,298,288,227,218,100,64,42,4
E01007944,Sheffield 022F,"2,464",609,487,446,319,252,152,91,50,49,9
E01033269,Sheffield 022G,"2,109",522,295,347,356,260,160,71,59,31,8
E01033270,Sheffield 022H,"1,954",205,120,777,499,162,115,29,24,18,5
E01008129,Sheffield 023A,"1,486",144,161,126,147,212,255,180,166,66,29
E01008130,Sheffield 023B,"1,526",142,162,130,135,208,203,201,224,110,11
E01008131,Sheffield 023C,"1,597",153,178,154,143,263,240,218,145,87,16
