LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01008144,Sheffield 001A,"1,592",162,195,177,175,266,198,184,143,66,26
E01008145,Sheffield 001B,"1,455",134,144,162,147,188,234,189,162,76,19
E01008148,Sheffield 001C,"1,517",187,172,140,163,210,210,185,146,84,20
E01008149,Sheffield 001D,"1,428",143,137,169,130,219,217,195,156,53,9
E01008150,Sheffield 001E,"1,477",158,147,162,162,188,182,200,132,100,46
E01008142,Sheffield 002A,"1,504",191,209,177,216,231,182,136,89,48,25
E01008143,Sheffield 002B,"1,592",142,177,185,177,250,272,186,135,54,14
E01008146,Sheffield 002C,"1,240",112,122,108,100,191,200,202,155,47,3
E01008147,Sheffield 002D,"1,370",105,108,131,103,192,214,248,192,69,8
E01007888,Sheffield 003A,"1,354",137,134,146,165,222,203,211,106,27,3
E01007892,Sheffield 003B,"1,508",205,185,190,143,181,205,172,152,60,15
E01007893,Sheffield 003C,"1,493",108,141,136,141,211,247,226,190,87,6
E01007898,Sheffield 003D,"1,400",146,142,163,173,213,280,151,85,39,8
E01007899,Sheffield 003E,"1,384",107,140,97,115,153,225,266,195,75,11
E01007900,Sheffield 003F,"1,752",239,194,214,207,235,239,200,151,63,10
E01007901,Sheffield 003G,"1,520",188,207,164,180,183,171,196,132,79,20
E01007887,Sheffield 004A,"1,363",143,166,148,169,200,181,173,115,46,22
E01007889,Sheffield 004B,"2,661",363,321,271,293,528,369,251,169,80,16
E01007890,Sheffield 004C,"1,408",114,153,138,130,216,198,209,168,67,15
E01007891,Sheffield 004D,"1,496",115,137,143,93,195,230,227,244,99,13
E01007894,Sheffield 004E,"1,379",148,127,171,175,229,178,166,115,59,11
E01007895,Sheffield 004F,"1,435",119,143,152,126,227,205,191,160,98,14
E01007896,Sheffield 004G,"1,236",89,117,99,123,179,192,252,118,59,8
E01007897,Sheffield 005A,"1,334",83,106,109,91,169,186,248,251,78,13
E01008134,Sheffield 005B,"1,252",94,98,120,112,147,211,212,138,96,24
E01008135,Sheffield 005C,"1,750",176,147,214,222,253,253,217,147,97,24
E01008137,Sheffield 005D,"1,439",107,116,125,130,179,212,225,223,111,11
E01008141,Sheffield 005E,"1,589",127,149,153,160,218,231,246,192,106,7
E01008053,Sheffield 006A,"1,340",137,184,148,143,211,164,148,141,52,12
E01008056,Sheffield 006B,"1,517",196,206,186,185,212,208,157,96,56,15
E01008058,Sheffield 006C,"1,526",147,155,167,160,216,247,185,164,73,12
E01008138,Sheffield 006D,"1,301",108,152,115,127,166,194,179,139,97,24
E01008139,Sheffield 006E,"1,574",156,160,213,191,212,196,162,197,79,8
E01007856,Sheffield 007A,"1,250",227,142,172,176,163,160,101,66,38,5
E01008054,Sheffield 007B,"1,336",252,164,222,181,189,156,83,57,29,3
E01008055,Sheffield 007C,"1,704",311,229,265,228,186,197,106,86,68,28
E01008057,Sheffield 007D,"1,586",288,218,214,220,242,181,107,74,40,2
E01008126,Sheffield 008A,"1,493",142,143,123,105,219,258,206,221,68,8
E01008128,Sheffield 008C,"1,754",186,156,158,215,282,284,242,165,60,6
E01008136,Sheffield 008D,"1,349",148,161,125,134,222,201,175,121,56,6
E01008140,Sheffield 008E,"1,948",261,186,173,279,315,254,193,152,109,26
E01033275,Sheffield 008F,"1,718",237,236,199,246,312,241,156,71,18,2
E01033280,Sheffield 008G,"1,561",162,202,145,186,264,264,189,102,42,5
E01008085,Sheffield 009A,"1,426",197,177,202,163,194,177,148,109,35,24
E01008086,Sheffield 009B,"1,322",203,178,159,174,184,162,118,91,47,6
E01008116,Sheffield 009C,"1,321",184,203,188,133,172,182,111,101,37,10
E01008117,Sheffield 009D,"1,264",145,175,139,161,158,164,149,110,51,12
E01008118,Sheffield 009E,"1,432",206,166,196,180,182,172,140,127,56,7
E01008119,Sheffield 009F,"1,236",199,179,148,150,170,165,100,66,37,22
E01008125,Sheffield 009G,"1,523",180,219,183,152,207,191,190,117,68,16
E01007849,Sheffield 010A,"2,195",373,313,311,327,273,245,134,157,53,9
E01007857,Sheffield 010B,"1,625",279,183,252,212,190,186,148,115,56,4
E01008059,Sheffield 010C,"1,544",267,192,211,175,201,205,136,96,54,7
E01008060,Sheffield 010D,"1,459",241,186,192,196,202,192,108,92,45,5
E01008061,Sheffield 011A,"1,603",271,217,220,173,211,200,117,110,65,19
E01008063,Sheffield 011B,"1,469",142,141,203,160,231,186,174,148,72,12
E01033277,Sheffield 011E,"2,612",472,333,437,388,297,276,205,129,63,12
E01008087,Sheffield 012A,"1,474",123,136,202,168,187,247,167,150,72,22
E01008088,Sheffield 012B,"1,366",122,113,178,182,178,224,146,139,79,5
E01008090,Sheffield 012C,"1,653",319,155,254,212,208,206,158,102,36,3
E01008092,Sheffield 012D,"1,479",170,120,167,215,201,202,148,115,90,51
E01008122,Sheffield 012E,"1,496",294,173,262,192,184,163,96,70,59,3
E01008124,Sheffield 012F,"1,456",317,152,276,233,167,133,102,45,27,4
E01007848,Sheffield 013A,"1,841",273,239,252,235,262,193,178,123,69,17
